Dataset,Module,Completeness,Uniqueness,Validity,Accuracy,Timeliness,Consistency,Status,Week_format,Record_ID,Data_Vendor,Date,Time_Period,Pipeline_Success_Rate_Pct,Mean_Time_to_Fix_Failure_Hours,Mean_Time_Between_Failures_Hours,Error_Rate_Pct,Record_Completeness_Score_Pct,On_Time_Data_Delivery_Rate_Pct,Validation_Failure_Rate_Pct,Null_Value_Rate_Pct,Duplication_Rate_Pct,User_Reported_Issues,Data_Freshness,Incident_Frequency
Sent,Marketing Report,0.44,0.31,0.247,0.245,0.244,0.308,In Progress,03/23,9,SFMC,2025-03-23,CM,0.0162,4.2,52.9,0.0052,0.0147,0.0,0.0031,0.0036,0.0064,5,0.0036,1.76
Email,Field Report,0.44,0.31,0.147,0.245,0.144,0.308,In Progress,12/13,10,SFMC,2025-12-13,YTD,0.2158,9.2,89.2,0.0033,0.013,0.0198,0.0097,0.0084,0.0027,5,0.0084,0.8
Patients,Marketing Report,0.44,0.17,0.147,0.245,0.244,0.308,Achieved,04/25,13,IQVIA,2025-04-25,YTD,0.0176,8.0,93.1,0.0069,0.015,0.0,0.0034,0.0013,0.0097,0,0.0013,1.57
Patients,Field Report,0.15,0.31,0.247,0.245,0.144,0.308,Achieved,10/09,15,IQVIA,2025-10-09,QTD,0.01,3.4,85.7,0.0014,0.0112,0.0081,0.003,0.0058,0.0083,5,0.0089,1.6
Rx Fact,Field Report,0.44,0.31,0.247,0.245,0.144,0.308,In Progress,03/25,16,IQVIA,2025-03-25,QTD,0.0102,4.6,73.0,0.0063,0.0092,0.0055,0.002,0.0095,0.0031,1,0.0061,1.46
Sent,Marketing Report,0.44,0.17,0.247,0.445,0.244,0.308,Achieved,08/24,18,SFMC,2025-08-24,QTD,0.0128,8.8,52.7,0.0032,0.0094,0.0054,0.0062,0.0063,0.0025,3,0.0025,0.69
Subscriber,Field Report,0.44,0.31,0.247,0.245,0.144,0.308,Achieved,03/23,20,SFMC,2025-03-23,CM,0.2169,3.8,69.2,0.0023,0.0062,0.0,0.0018,0.0085,0.0075,3,0.0042,1.49
Sent,Marketing Report,0.15,0.17,0.247,0.245,0.144,0.308,In Progress,09/20,21,SFMC,2025-09-20,YTD,0.0131,9.3,87.8,0.0016,0.0116,0.0,0.0012,0.0088,0.0012,4,0.0045,0.92
Subscriber,Marketing Report,0.15,0.17,0.247,0.245,0.144,0.308,In Progress,06/26,22,SFMC,2025-06-26,YTD,0.0151,4.9,93.5,0.0086,0.009,0.013,0.0024,0.0018,0.0065,4,0.0071,1.29
Subscriber,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,07/30,23,SFMC,2025-07-30,YTD,0.0111,7.0,84.9,0.0013,0.017,0.0092,0.0098,0.0088,0.0012,5,0.0064,1.75
Prescriber,Field Report,0.15,0.17,0.247,0.245,0.144,0.308,In Progress,03/01,25,IQVIA,2025-03-01,YTD,0.0087,9.3,95.8,0.0047,0.0159,0.0114,0.0026,0.0063,0.006,5,0.0099,0.24
Rx Fact,Field Report,0.44,0.17,0.247,0.245,0.144,0.308,Achieved,03/23,26,IQVIA,2025-03-23,CM,0.0071,5.5,75.7,0.0049,0.0141,0.0,0.0057,0.0012,0.005,1,0.0014,0.19
Sent,Marketing Report,0.15,0.31,0.147,0.445,0.144,0.308,In Progress,03/23,28,SFMC,2025-03-23,CM,0.0082,7.5,50.2,0.0057,0.0054,0.0,0.0053,0.0034,0.0051,4,0.0098,1.11
Prescriber,Field Report,0.44,0.17,0.147,0.445,0.144,0.308,In Progress,04/23,31,IQVIA,2025-04-23,YTD,0.0182,8.2,58.5,0.0053,0.0095,0.0119,0.0059,0.0012,0.0024,5,0.0055,1.33
Email,Field Report,0.44,0.17,0.147,0.245,0.144,0.308,In Progress,03/23,32,SFMC,2025-03-23,CM,0.0192,8.7,69.2,0.0059,0.0155,0.0123,0.0092,0.0042,0.0052,1,0.0068,1.2
Rx Fact,Field Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,03/23,34,IQVIA,2025-03-23,CM,0.0117,7.0,93.9,0.0026,0.0191,0.0195,0.0082,0.0073,0.0078,3,0.019,1.82
Sent,Field Report,0.44,0.17,0.147,0.245,0.144,0.308,Achieved,05/17,36,SFMC,2025-05-17,QTD,0.0076,6.7,63.8,0.0043,0.0096,0.0118,0.0077,0.0047,0.0099,4,0.0097,1.96
Email,Marketing Report,0.44,0.31,0.147,0.445,0.244,0.308,Achieved,01/22,37,SFMC,2025-01-22,QTD,0.0098,2.5,84.1,0.0074,0.0054,0.0101,0.0042,0.0034,0.0076,1,0.013,0.59
Email,Field Report,0.44,0.17,0.147,0.245,0.244,0.308,Achieved,12/19,38,SFMC,2025-12-19,QTD,0.0192,10.0,95.7,0.0087,0.0143,0.0154,0.0076,0.0042,0.0044,2,0.0092,1.83
Patients,Field Report,0.44,0.17,0.147,0.445,0.244,0.308,Achieved,12/14,40,IQVIA,2025-12-14,QTD,0.0187,3.6,62.4,0.0063,0.0158,0.0077,0.0073,0.0018,0.0015,3,0.0114,0.72
Sent,Field Report,0.15,0.31,0.247,0.445,0.144,0.308,In Progress,03/23,42,SFMC,2025-03-23,CM,0.0095,6.7,50.7,0.0073,0.0145,0.0153,0.0033,0.004,0.0065,2,0.0053,0.53
Prescriber,Field Report,0.44,0.17,0.247,0.245,0.244,0.308,Achieved,03/23,44,IQVIA,2025-03-23,CM,0.0193,4.2,80.6,0.0074,0.0051,0.0133,0.0061,0.0092,0.0033,1,0.0062,1.49
Sent,Marketing Report,0.15,0.31,0.147,0.245,0.244,0.308,Achieved,09/02,45,SFMC,2025-09-02,QTD,0.0196,5.6,50.6,0.0049,0.0171,0.0193,0.0093,0.0016,0.0053,3,0.0026,1.6
Prescriber,Field Report,0.15,0.17,0.247,0.445,0.144,0.308,In Progress,03/23,47,IQVIA,2025-03-23,CM,0.0133,4.2,72.6,0.0014,0.0093,0.0113,0.007,0.0053,0.0066,4,0.0043,1.96
Prescriber,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,In Progress,01/04,48,IQVIA,2025-01-04,YTD,0.0171,7.8,67.7,0.0059,0.0079,0.0,0.0084,0.0063,0.0036,2,0.0074,1.99
Email,Field Report,0.44,0.31,0.147,0.245,0.244,0.308,In Progress,10/22,50,SFMC,2025-10-22,QTD,0.01,7.0,69.8,0.0023,0.0114,0.0142,0.0017,0.0047,0.0023,0,0.0042,1.15
Rx Fact,Marketing Report,0.44,0.17,0.147,0.245,0.244,0.308,In Progress,01/13,51,IQVIA,2025-01-13,YTD,0.0128,2.5,66.9,0.0075,0.0166,0.0,0.0078,0.0087,0.0013,1,0.0063,1.48
Email,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,In Progress,06/14,53,SFMC,2025-06-14,QTD,0.0117,8.8,76.4,0.0032,0.0181,0.0183,0.0052,0.0099,0.0056,5,0.0073,0.57
Subscriber,Field Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,03/23,55,SFMC,2025-03-23,CM,0.0134,2.6,92.5,0.0059,0.0119,0.0106,0.0011,0.0059,0.0014,1,0.0074,0.62
Prescriber,Marketing Report,0.15,0.17,0.247,0.445,0.144,0.308,In Progress,03/15,57,IQVIA,2025-03-15,YTD,0.016,9.0,97.2,0.0031,0.0134,0.0101,0.0093,0.0072,0.0011,2,0.0032,1.53
Email,Marketing Report,0.15,0.17,0.147,0.445,0.144,0.308,Achieved,04/27,59,SFMC,2025-04-27,QTD,0.0067,3.5,65.4,0.0066,0.0096,0.0111,0.007,0.0076,0.0081,4,0.0065,0.55
Patients,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,Achieved,03/23,61,IQVIA,2025-03-23,CM,0.0115,3.9,90.4,0.0039,0.0055,0.0072,0.0053,0.0026,0.0021,5,0.0059,0.41
Patients,Field Report,0.44,0.17,0.247,0.245,0.244,0.308,Achieved,06/23,62,IQVIA,2025-06-23,YTD,0.0132,8.7,65.2,0.0076,0.0102,0.0195,0.0076,0.0065,0.0038,5,0.0023,1.5
Email,Marketing Report,0.15,0.31,0.247,0.245,0.244,0.308,Achieved,05/25,64,SFMC,2025-05-25,QTD,0.0164,4.8,84.1,0.0097,0.0078,0.0124,0.0024,0.0065,0.0075,2,0.0088,0.25
Prescriber,Field Report,0.44,0.31,0.147,0.445,0.244,0.308,In Progress,04/24,66,IQVIA,2025-04-24,QTD,0.0121,2.6,79.2,0.0037,0.0097,0.0109,0.0059,0.0092,0.0023,5,0.0046,0.33
Rx Fact,Field Report,0.15,0.17,0.147,0.445,0.144,0.308,Achieved,12/27,67,IQVIA,2025-12-27,YTD,0.112,5.4,50.9,0.0053,0.0198,0.0122,0.0021,0.0074,0.0029,5,0.0036,0.41
Email,Field Report,0.15,0.17,0.147,0.445,0.144,0.308,In Progress,07/11,68,SFMC,2025-07-11,QTD,0.0143,5.5,52.3,0.0018,0.012,0.0169,0.002,0.0038,0.0098,3,0.0084,1.47
Prescriber,Field Report,0.15,0.31,0.147,0.445,0.144,0.308,In Progress,03/23,69,IQVIA,2025-03-23,CM,0.0169,6.7,88.2,0.0074,0.0087,0.0173,0.0071,0.0015,0.0033,1,0.007,0.91
Subscriber,Marketing Report,0.44,0.31,0.147,0.445,0.244,0.308,Achieved,10/25,71,SFMC,2025-10-25,QTD,0.0102,9.4,78.3,0.0011,0.0098,0.0108,0.0087,0.0097,0.0024,2,0.0013,0.2
Email,Field Report,0.44,0.17,0.147,0.445,0.144,0.308,In Progress,03/23,73,SFMC,2025-03-23,CM,0.0162,3.6,78.1,0.0035,0.0141,0.0089,0.0064,0.0043,0.0095,1,0.0089,1.54
Email,Marketing Report,0.44,0.31,0.147,0.445,0.144,0.308,In Progress,11/15,74,SFMC,2025-11-15,QTD,0.2158,9.5,76.7,0.0086,0.0122,0.013,0.0084,0.0074,0.0057,5,0.0061,0.85
Email,Field Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,03/23,75,SFMC,2025-03-23,CM,0.0144,6.2,95.9,0.0075,0.0121,0.0,0.0063,0.0076,0.0036,3,0.005,1.25
Patients,Field Report,0.15,0.17,0.147,0.245,0.144,0.308,Achieved,08/26,76,IQVIA,2025-08-26,YTD,0.0142,6.4,79.8,0.0023,0.0134,0.0092,0.0063,0.0098,0.006,0,0.0025,0.7
Email,Field Report,0.15,0.17,0.247,0.245,0.244,0.308,Achieved,03/23,78,SFMC,2025-03-23,CM,0.0187,7.7,84.4,0.0014,0.0091,0.0,0.0036,0.0028,0.0089,5,0.0042,1.11
Subscriber,Field Report,0.44,0.31,0.247,0.445,0.144,0.308,Achieved,09/03,80,SFMC,2025-09-03,YTD,0.2152,6.5,76.3,0.0033,0.0087,0.0197,0.0022,0.0077,0.003,1,0.0071,1.64
Rx Fact,Marketing Report,0.44,0.17,0.247,0.445,0.244,0.308,Achieved,10/01,82,IQVIA,2025-10-01,QTD,0.0136,5.8,61.0,0.0049,0.007,0.0086,0.0066,0.0027,0.0073,3,0.0027,0.12
Email,Field Report,0.44,0.17,0.247,0.245,0.244,0.308,Achieved,06/17,84,SFMC,2025-06-17,QTD,0.0143,9.5,91.8,0.0093,0.0051,0.0122,0.007,0.0065,0.0024,3,0.0014,0.26
Patients,Marketing Report,0.15,0.17,0.247,0.245,0.144,0.308,In Progress,02/15,85,IQVIA,2025-02-15,QTD,0.0169,9.2,94.5,0.008,0.0195,0.0092,0.0031,0.003,0.0071,1,0.0097,0.73
Subscriber,Marketing Report,0.44,0.31,0.247,0.445,0.144,0.308,Achieved,07/31,87,SFMC,2025-07-31,YTD,0.0102,3.6,61.8,0.0051,0.0138,0.0,0.0042,0.0095,0.0059,1,0.0087,0.25
Rx Fact,Marketing Report,0.44,0.17,0.247,0.445,0.244,0.308,Achieved,11/17,89,IQVIA,2025-11-17,QTD,0.0162,9.1,88.2,0.0071,0.0143,0.0172,0.0068,0.0089,0.0033,5,0.0055,0.64
Rx Fact,Field Report,0.44,0.17,0.147,0.445,0.144,0.308,In Progress,08/22,90,IQVIA,2025-08-22,YTD,0.2158,2.6,72.0,0.0081,0.0146,0.0,0.0029,0.0079,0.0052,3,0.0068,0.88
Email,Field Report,0.44,0.17,0.247,0.445,0.244,0.308,Achieved,03/23,92,SFMC,2025-03-23,CM,0.0081,2.1,77.2,0.0044,0.0145,0.0,0.0019,0.0049,0.0042,5,0.019,0.12
Rx Fact,Marketing Report,0.44,0.17,0.147,0.445,0.244,0.308,Achieved,03/23,93,IQVIA,2025-03-23,CM,0.0183,6.8,53.4,0.0082,0.007,0.0,0.0051,0.0069,0.0081,5,0.015,1.47
Sent,Marketing Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,01/22,95,SFMC,2025-01-22,QTD,0.0156,9.3,58.8,0.0071,0.0083,0.0111,0.0067,0.0039,0.007,4,0.013,0.63
Subscriber,Field Report,0.15,0.17,0.247,0.245,0.244,0.308,Achieved,03/23,96,SFMC,2025-03-23,CM,0.0176,8.9,59.6,0.0066,0.009,0.0,0.0071,0.0057,0.0084,4,0.0092,0.51
Patients,Marketing Report,0.44,0.31,0.147,0.445,0.244,0.308,Achieved,03/23,98,IQVIA,2025-03-23,CM,0.0175,8.2,58.1,0.0094,0.0188,0.0,0.0023,0.0088,0.0058,0,0.0114,1.93
Rx Fact,Marketing Report,0.15,0.31,0.247,0.445,0.244,0.308,Achieved,12/08,100,IQVIA,2025-12-08,YTD,0.2066,7.5,89.4,0.001,0.0147,0.0,0.0073,0.0015,0.0097,4,0.0053,0.9
Email,Marketing Report,0.44,0.31,0.147,0.445,0.144,0.308,Achieved,03/23,102,SFMC,2025-03-23,CM,0.0102,5.2,56.9,0.0087,0.0121,0.0059,0.0093,0.0025,0.008,4,0.0062,1.19
Email,Field Report,0.15,0.17,0.147,0.245,0.144,0.308,Achieved,03/23,104,SFMC,2025-03-23,CM,0.0061,6.6,65.6,0.0093,0.017,0.0061,0.0035,0.0053,0.0043,3,0.0013,0.71
Subscriber,Marketing Report,0.44,0.31,0.247,0.445,0.144,0.308,In Progress,03/23,105,SFMC,2025-03-23,CM,0.0126,4.3,63.0,0.0019,0.0138,0.0078,0.0094,0.0068,0.002,1,0.0043,0.85
Email,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,In Progress,03/23,107,SFMC,2025-03-23,CM,0.0054,5.6,65.7,0.0077,0.0114,0.0192,0.0067,0.0022,0.0087,3,0.0087,1.45
Patients,Field Report,0.44,0.17,0.147,0.445,0.144,0.308,In Progress,10/21,109,IQVIA,2025-10-21,QTD,0.012,5.5,99.6,0.0011,0.0107,0.0072,0.001,0.0018,0.0093,0,0.0063,1.4
Email,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,05/19,111,SFMC,2025-05-19,YTD,0.2114,8.9,84.2,0.0017,0.0121,0.0103,0.0056,0.0038,0.0047,2,0.0073,1.01
Rx Fact,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,In Progress,03/23,113,IQVIA,2025-03-23,CM,0.0122,9.7,70.4,0.0016,0.005,0.0056,0.0032,0.0068,0.0019,3,0.0074,0.56
Email,Marketing Report,0.15,0.31,0.247,0.445,0.244,0.308,In Progress,09/17,114,SFMC,2025-09-17,YTD,0.0119,5.4,63.3,0.0036,0.0099,0.0098,0.0089,0.0075,0.0072,5,0.0049,0.7
Sent,Field Report,0.15,0.31,0.147,0.245,0.144,0.308,In Progress,04/28,115,SFMC,2025-04-28,YTD,0.0193,3.7,72.0,0.002,0.0114,0.0126,0.0023,0.0033,0.004,5,0.0032,0.55
Patients,Marketing Report,0.44,0.31,0.247,0.445,0.244,0.308,In Progress,08/18,117,IQVIA,2025-08-18,YTD,0.01,2.3,72.9,0.0048,0.0129,0.0092,0.0047,0.0037,0.0074,1,0.0065,0.33
Subscriber,Marketing Report,0.44,0.31,0.247,0.445,0.244,0.308,In Progress,01/16,119,SFMC,2025-01-16,QTD,0.0143,5.1,91.8,0.0068,0.0115,0.0093,0.0081,0.002,0.0043,3,0.0059,1.08
Patients,Marketing Report,0.15,0.31,0.247,0.245,0.144,0.308,In Progress,08/31,129,IQVIA,2025-08-31,QTD,0.0142,8.9,54.0,0.005,0.0125,0.0146,0.0092,0.0078,0.0018,5,0.0013,1.7
Prescriber,Field Report,0.44,0.17,0.247,0.445,0.144,0.308,Achieved,06/23,131,IQVIA,2025-06-23,YTD,0.2072,5.3,52.0,0.0065,0.0178,0.0078,0.0041,0.0057,0.0058,0,0.0089,0.73
Patients,Field Report,0.44,0.31,0.147,0.445,0.144,0.308,Achieved,06/28,132,IQVIA,2025-06-28,YTD,0.0119,5.9,92.4,0.0077,0.0104,0.0061,0.0076,0.0013,0.0019,5,0.0061,0.88
Email,Field Report,0.15,0.31,0.247,0.245,0.144,0.308,In Progress,09/04,133,SFMC,2025-09-04,YTD,0.0058,9.7,58.2,0.0026,0.0053,0.0137,0.0012,0.006,0.0038,5,0.005,1.02
Patients,Field Report,0.44,0.17,0.147,0.245,0.144,0.308,Achieved,08/05,135,IQVIA,2025-08-05,QTD,0.0072,3.4,91.9,0.0071,0.0152,0.0077,0.0039,0.0065,0.0033,3,0.0072,1.48
Sent,Field Report,0.15,0.17,0.147,0.245,0.144,0.308,Achieved,04/17,136,SFMC,2025-04-17,YTD,0.0065,9.2,59.6,0.0013,0.0084,0.0133,0.0085,0.0063,0.0065,4,0.0042,0.72
Email,Marketing Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,05/24,137,SFMC,2025-05-24,YTD,0.0117,5.3,57.6,0.0017,0.0142,0.0,0.0025,0.0084,0.0052,4,0.0045,0.1
Rx Fact,Field Report,0.44,0.17,0.147,0.445,0.244,0.308,In Progress,08/02,138,IQVIA,2025-08-02,YTD,0.212,3.6,69.7,0.0042,0.018,0.0,0.0032,0.0086,0.001,4,0.0071,0.35
Sent,Marketing Report,0.15,0.17,0.147,0.445,0.144,0.308,In Progress,02/17,140,SFMC,2025-02-17,YTD,0.0166,9.5,91.6,0.0086,0.0098,0.0,0.0031,0.0033,0.0085,4,0.0027,1.69
Email,Field Report,0.44,0.17,0.147,0.245,0.144,0.308,Achieved,03/11,147,SFMC,2025-03-11,QTD,0.0139,3.1,58.2,0.0035,0.0082,0.0139,0.0088,0.0035,0.009,4,0.0055,0.62
Rx Fact,Field Report,0.44,0.17,0.247,0.245,0.244,0.308,In Progress,03/23,148,IQVIA,2025-03-23,CM,0.0098,4.8,97.3,0.0097,0.019,0.0157,0.0087,0.0047,0.0056,5,0.0068,0.52
Email,Marketing Report,0.44,0.17,0.247,0.245,0.244,0.308,Achieved,03/23,149,SFMC,2025-03-23,CM,0.0168,9.0,56.7,0.0095,0.0166,0.0176,0.0042,0.0067,0.0031,2,0.0054,1.18
Subscriber,Marketing Report,0.15,0.17,0.147,0.445,0.144,0.308,Achieved,10/11,151,SFMC,2025-10-11,YTD,0.0071,4.8,94.1,0.0053,0.0072,0.0,0.0014,0.0099,0.0026,0,0.015,0.81
Prescriber,Field Report,0.44,0.31,0.147,0.245,0.244,0.308,Achieved,03/23,152,IQVIA,2025-03-23,CM,0.0182,8.8,58.7,0.0024,0.01,0.0161,0.0081,0.0059,0.0067,0,0.0097,0.37
Rx Fact,Marketing Report,0.44,0.17,0.247,0.245,0.244,0.308,In Progress,02/14,153,IQVIA,2025-02-14,YTD,0.112,6.6,70.3,0.0019,0.0121,0.0,0.004,0.0068,0.0061,5,0.013,0.47
Prescriber,Marketing Report,0.44,0.31,0.247,0.245,0.144,0.308,In Progress,01/21,159,IQVIA,2025-01-21,YTD,0.0162,4.7,62.0,0.0089,0.0104,0.0,0.0074,0.0038,0.0057,3,0.0059,1.63
Patients,Field Report,0.44,0.31,0.147,0.445,0.144,0.308,Achieved,03/23,160,IQVIA,2025-03-23,CM,0.2158,2.1,98.6,0.0026,0.014,0.0116,0.0081,0.0032,0.0018,0,0.0062,0.77
Email,Marketing Report,0.44,0.17,0.147,0.245,0.144,0.308,In Progress,06/02,161,SFMC,2025-06-02,YTD,0.01,8.8,62.9,0.0034,0.0134,0.0,0.0046,0.008,0.0029,3,0.0026,0.51
Sent,Field Report,0.15,0.31,0.247,0.245,0.244,0.308,In Progress,05/28,163,SFMC,2025-05-28,YTD,0.0134,2.7,86.0,0.0099,0.0134,0.0,0.0029,0.0049,0.0055,5,0.0043,1.24
Sent,Marketing Report,0.44,0.31,0.147,0.445,0.244,0.308,In Progress,11/08,164,SFMC,2025-11-08,YTD,0.0087,7.8,94.5,0.0018,0.0197,0.0199,0.0059,0.0059,0.0094,5,0.0074,0.87
Email,Field Report,0.15,0.17,0.247,0.245,0.244,0.308,Achieved,03/23,166,SFMC,2025-03-23,CM,0.0106,3.7,83.9,0.0044,0.0114,0.0114,0.0015,0.0034,0.0094,2,0.0042,0.25
Prescriber,Marketing Report,0.44,0.17,0.147,0.445,0.244,0.308,Achieved,04/16,173,IQVIA,2025-04-16,YTD,0.0077,3.3,78.6,0.0064,0.0185,0.0108,0.0019,0.0043,0.0034,2,0.0032,1.29
Patients,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,Achieved,03/23,175,IQVIA,2025-03-23,CM,0.0121,6.6,64.1,0.0031,0.0169,0.0157,0.0031,0.0031,0.002,3,0.0065,0.5
Rx Fact,Marketing Report,0.15,0.17,0.247,0.445,0.244,0.308,Achieved,05/23,176,IQVIA,2025-05-23,YTD,0.0108,8.1,84.7,0.0037,0.0097,0.0057,0.0098,0.0059,0.0054,1,0.007,1.15
Patients,Marketing Report,0.15,0.17,0.147,0.445,0.244,0.308,In Progress,03/23,177,IQVIA,2025-03-23,CM,0.0167,2.2,75.6,0.0097,0.0055,0.0144,0.0032,0.0078,0.0042,0,0.0059,1.09
Prescriber,Field Report,0.15,0.31,0.147,0.445,0.144,0.308,In Progress,04/09,179,IQVIA,2025-04-09,QTD,0.0128,7.0,94.5,0.0036,0.0162,0.01,0.0094,0.0077,0.0022,3,0.0088,0.37
Sent,Marketing Report,0.15,0.31,0.247,0.245,0.144,0.308,Achieved,10/26,180,SFMC,2025-10-26,QTD,0.0051,9.9,51.6,0.0029,0.0155,0.0155,0.0075,0.0041,0.0013,1,0.0088,0.25
Prescriber,Field Report,0.15,0.31,0.147,0.245,0.244,0.308,In Progress,05/07,181,IQVIA,2025-05-07,QTD,0.0109,8.9,65.1,0.0022,0.0143,0.0088,0.0042,0.0031,0.0028,1,0.0075,1.18
Patients,Field Report,0.44,0.17,0.247,0.445,0.144,0.308,In Progress,04/24,183,IQVIA,2025-04-24,YTD,0.112,9.9,63.7,0.0027,0.0135,0.0193,0.003,0.0016,0.0036,1,0.0036,0.64
Rx Fact,Marketing Report,0.15,0.17,0.147,0.445,0.144,0.308,Achieved,06/24,184,IQVIA,2025-06-24,QTD,0.0143,9.7,95.8,0.006,0.009,0.005,0.0087,0.0096,0.0027,1,0.0084,0.43
Sent,Marketing Report,0.44,0.17,0.247,0.445,0.144,0.308,In Progress,09/08,189,SFMC,2025-09-08,YTD,0.0162,7.4,68.1,0.0033,0.006,0.0145,0.0012,0.006,0.005,2,0.0089,0.24
Rx Fact,Marketing Report,0.15,0.17,0.147,0.445,0.244,0.308,In Progress,12/23,191,IQVIA,2025-12-23,QTD,0.0148,5.2,95.8,0.001,0.0065,0.0115,0.0052,0.0047,0.0032,3,0.005,0.88
Rx Fact,Field Report,0.44,0.31,0.147,0.245,0.144,0.308,Achieved,03/15,192,IQVIA,2025-03-15,YTD,0.0127,7.8,55.6,0.0054,0.0063,0.0167,0.002,0.0046,0.0048,5,0.0025,0.97
Patients,Marketing Report,0.15,0.17,0.147,0.245,0.144,0.308,In Progress,04/05,193,IQVIA,2025-04-05,YTD,0.0054,5.8,95.0,0.0069,0.0132,0.0123,0.003,0.0058,0.0023,5,0.0072,0.1
Subscriber,Marketing Report,0.44,0.31,0.247,0.245,0.144,0.308,Achieved,10/26,195,SFMC,2025-10-26,QTD,0.014,6.3,81.4,0.0076,0.0137,0.016,0.0032,0.0054,0.0094,3,0.0045,0.59
Patients,Field Report,0.15,0.17,0.147,0.245,0.144,0.308,In Progress,01/22,196,IQVIA,2025-01-22,QTD,0.0093,9.7,91.5,0.0067,0.0112,0.0114,0.006,0.0021,0.0072,2,0.0071,1.63
Patients,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,Achieved,01/20,198,IQVIA,2025-01-20,QTD,0.0055,9.1,73.4,0.0078,0.0108,0.0128,0.0022,0.0026,0.0094,3,0.0027,0.57
Patients,Field Report,0.44,0.31,0.247,0.245,0.144,0.308,In Progress,10/11,199,IQVIA,2025-10-11,YTD,0.112,8.2,94.8,0.0034,0.0071,0.0132,0.0026,0.0024,0.0083,5,0.0099,0.86
Prescriber,Marketing Report,0.44,0.17,0.147,0.445,0.144,0.308,Achieved,03/23,200,IQVIA,2025-03-23,CM,0.0143,6.4,95.0,0.0075,0.0053,0.0,0.0064,0.0036,0.0097,1,0.0014,1.54
Prescriber,Marketing Report,0.15,0.17,0.247,0.445,0.244,0.308,Achieved,05/17,202,IQVIA,2025-05-17,YTD,0.0199,7.1,60.4,0.0032,0.0168,0.0112,0.0055,0.0054,0.0077,2,0.0098,0.96
Prescriber,Field Report,0.15,0.17,0.247,0.445,0.144,0.308,Achieved,03/29,203,IQVIA,2025-03-29,QTD,0.0102,5.6,52.0,0.0064,0.015,0.0147,0.0074,0.0028,0.0076,4,0.0087,1.96
Email,Marketing Report,0.44,0.17,0.147,0.245,0.144,0.308,In Progress,02/24,204,SFMC,2025-02-24,YTD,0.157,9.1,81.6,0.0024,0.0081,0.0061,0.0089,0.0079,0.0068,3,0.0081,1.54
Prescriber,Field Report,0.15,0.31,0.147,0.245,0.144,0.308,In Progress,03/24,205,IQVIA,2025-03-24,QTD,0.0162,4.0,89.0,0.0072,0.0106,0.0149,0.0063,0.005,0.0096,2,0.0055,1.59
Prescriber,Field Report,0.15,0.17,0.147,0.245,0.244,0.308,Achieved,09/20,207,IQVIA,2025-09-20,QTD,0.0078,3.5,58.8,0.0016,0.0096,0.012,0.0071,0.0037,0.0072,2,0.0054,1.39
Sent,Field Report,0.44,0.17,0.247,0.245,0.144,0.308,In Progress,03/23,208,SFMC,2025-03-23,CM,0.0064,6.2,90.7,0.0013,0.0153,0.0,0.0091,0.0075,0.0019,2,0.019,0.63
Email,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,05/19,209,SFMC,2025-05-19,YTD,0.0112,6.7,61.0,0.0081,0.0098,0.0067,0.006,0.0053,0.0046,1,0.015,0.33
Email,Field Report,0.44,0.31,0.247,0.445,0.244,0.308,Achieved,06/05,211,SFMC,2025-06-05,YTD,0.0081,5.2,92.0,0.0084,0.0099,0.0088,0.0028,0.0085,0.0066,3,0.013,1.62
Rx Fact,Marketing Report,0.44,0.31,0.247,0.445,0.144,0.308,Achieved,03/20,212,IQVIA,2025-03-20,QTD,0.0169,4.9,57.6,0.0076,0.0072,0.0166,0.0019,0.0093,0.0098,2,0.0092,0.35
Patients,Marketing Report,0.44,0.17,0.147,0.445,0.244,0.308,In Progress,08/19,213,IQVIA,2025-08-19,QTD,0.0093,2.0,73.0,0.0045,0.0182,0.0132,0.0041,0.0088,0.0069,1,0.0139,1.21
Email,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,03/23,214,SFMC,2025-03-23,CM,0.0063,6.9,85.5,0.0041,0.0109,0.0,0.0036,0.007,0.0014,0,0.0114,0.58
Prescriber,Field Report,0.15,0.31,0.247,0.445,0.244,0.308,In Progress,03/23,216,IQVIA,2025-03-23,CM,0.0089,7.2,99.5,0.0099,0.011,0.0,0.0079,0.0036,0.0087,4,0.0053,1.01
